,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
14831,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,SEMA4D,PLXNB3,0.30956003,0.0,0.08584803,0.39291942,0.32475436,0.07457225,0.8014821,0.0,1.0,0.6209621710893904,1.0
14832,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,SEMA4G,PLXNB2,0.4690619,0.0,0.19970275,0.1327829,0.16984698,0.04633303,0.860291,0.0,1.0,1.0,1.0
11053,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,CALM1,PTPRA,0.28659844,1.0,0.07805695,-0.08980678,-0.15788463,0.012996448,0.79380465,0.0,1.0,1.0,1.0
14825,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,SEMA3A,NRP2,0.31074122,0.0,0.09409487,0.14596258,0.060547292,0.010112974,0.80867845,0.0,1.0,1.0,1.0
11121,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,SEMA3C,NRP2_PLXNA3,0.29367337,0.0,0.08179264,0.2088377,0.35272816,0.016087402,0.79760426,0.0,1.0,1.0,1.0
14807,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,NRXN3,NLGN1,0.26973802,0.001,0.07275016,0.09439449,-0.057107985,0.013636303,0.78798294,0.0,1.0,1.0,1.0
11088,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMB1,ITGA3_ITGB1,0.5036164,0.0,0.19256909,0.14018446,0.3034873,0.023467619,0.8580907,0.0,1.0,1.0,1.0
11119,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,RTN4,CNTNAP1,0.43787295,0.0,0.19121721,0.28202638,0.25688624,0.013881246,0.85766125,0.0,1.0,1.0,1.0
14757,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,GSTP1,EGFR,0.7206125,0.0,0.24212517,0.47698373,0.79807234,0.055959724,0.87147033,0.0,1.0,0.3998190764219686,1.0
11118,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,RGMB,NEO1,0.27639163,0.0,0.07475444,0.18491846,0.23680487,0.029885648,0.7902442,0.0,1.0,1.0,1.0
11117,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,RGMB,BMPR2,0.45061064,0.0,0.18516143,0.2705178,0.42147171,0.045723036,0.85568553,0.0,1.0,0.6770746052522172,1.0
14758,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,HBEGF,CD44,0.7552867,0.0,0.23974068,0.42385113,0.6550542,0.049011964,0.870915,0.0,1.0,0.3998190764219686,1.0
14759,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,HBEGF,CD82,0.24654019,0.0,0.056381896,0.3361006,0.41644433,0.06560484,0.76591164,0.0,1.0,0.3998190764219686,1.0
14760,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,HLA-A,APLP2,0.43948138,0.115,0.18597925,0.011615859,-0.021832407,0.012707341,0.85595745,0.0,1.0,1.0,1.0
11087,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,LAMB1,ITGA2_ITGB1,0.55508196,0.0,0.26984167,0.17191504,0.3553782,0.02115673,0.87741894,0.0,1.0,1.0,1.0
14761,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,HSPA8,LDLR,0.39804524,1.0,0.12891127,-0.1324392,-0.34144533,0.012281317,0.83185846,0.0,1.0,1.0,1.0
