,names,scores,logfoldchanges,pvals,pvals_adj
30732,ABHD11,-2.2741349,-0.8670867,0.02295788109274966,0.20486614865627442
30733,GTF3C5,-2.2744925,-0.30212945,0.02293639289959104,0.204728544029683
30734,FAM107B,-2.2754998,-0.57802,0.022875958977059553,0.20424314789256134
30735,NUP88,-2.2769496,-0.20929602,0.022789235864803668,0.20352271521399568
30736,ZNF69,-2.2783637,-0.12467111,0.022704911305236154,0.20287704116490143
30737,ENSG00000259925,-2.2783747,-0.68454325,0.02270426120667925,0.20287704116490143
30738,RBM14-RBM4,-2.2786014,-0.49883896,0.022690775311112903,0.20285817673475073
30739,PROM2,-2.2790272,-1.5931354,0.022665447162322504,0.20268544586715115
30740,CYP4B1,-2.2805915,-1.2855214,0.022572625664819337,0.20190890507184633
30741,PBX2,-2.2810721,-0.6977212,0.022544181453198742,0.20170795073745043
30742,PYM1,-2.2814953,-0.8322034,0.022519156958582642,0.20153749490254066
30743,ARL5A,-2.2818446,-0.66032344,0.02249850977540857,0.20140613420596581
30744,NOTCH2NLA,-2.2834883,-0.65226763,0.022401624033882378,0.2005920368639043
30745,ZBTB40,-2.2837858,-0.2861561,0.02238412043688587,0.2004885116911413
30746,OCLNP1,-2.284553,-0.6607313,0.022339051313609946,0.20013796901784375
30747,PIEZO1,-2.2852902,-0.3162108,0.022295820810198548,0.1998037169020183
30748,BECN1,-2.2881486,-0.8474416,0.02212886978380204,0.1983602727166527
30749,LATS1,-2.290158,-0.19141363,0.02201216155325133,0.1973665508388785
30750,TMED3,-2.2902372,-0.5991183,0.022007573980766356,0.1973665508388785
30751,KLF7,-2.2933276,-0.33458817,0.021829149170550684,0.1959338901341793
30752,ZP3,-2.2951322,-0.38299188,0.02172554615091383,0.1951077793803121
30753,ARID3B,-2.2956784,-0.46559492,0.021694283243403934,0.19487889154218552
30754,MVK,-2.2962816,-0.7006715,0.021659783276617554,0.19462079567325602
30755,BBC3,-2.2968876,-1.3304546,0.021625175291950814,0.1944133797896138
30756,DDX11,-2.2971444,-0.27733514,0.021610535972466934,0.19433355109569148
30757,WNK4,-2.2972207,-0.29374647,0.021606176992021307,0.19433355109569148
30758,ENTPD4,-2.2981982,-0.42436808,0.02155051173089726,0.19389713754679297
30759,LINC00668,-2.3008738,-1.382732,0.0213987701977319,0.1926346068493795
30760,SCAF8,-2.3020995,-0.07994147,0.02132955915792068,0.19206280383993696
30761,KIDINS220,-2.302168,-0.11798756,0.02132571127275788,0.19206280383993696
30762,C2CD2,-2.3032053,-0.4686789,0.021267297808310236,0.19170682021169846
30763,ST8SIA6,-2.3038223,-0.19107445,0.021232623297812957,0.19149658114627352
30764,ENSG00000291032,-2.3049853,-0.24557288,0.021167397256450893,0.19095935385899818
30765,ECHDC2,-2.3052583,-0.381545,0.021152111299939463,0.19087248870285037
30766,RRP12,-2.3054602,-0.5485149,0.021140805884092582,0.19082150629461844
30767,GABRE,-2.30599,-0.6686579,0.0211111923483626,0.19060519931328718
30768,SLC12A8,-2.3061974,-0.38886446,0.021099601025369674,0.19055153602675934
30769,CDH20,-2.30691,-0.5232839,0.0210598361903155,0.19024333950769612
30770,LINC00456,-2.307235,-0.5830207,0.021041727546317984,0.1901306607961352
30771,RAB3GAP2,-2.3073823,-0.09959859,0.021033514654650805,0.19010736256306407
30772,JARID2,-2.3080895,-0.06870071,0.02099416200722268,0.18985339751372107
30773,ENSG00000256969,-2.3088293,-1.5067711,0.020953054771932697,0.18958328452802609
30774,CEP164P1,-2.308952,-1.8764184,0.02094623564226518,0.1895724223632047
30775,USP30,-2.3101997,-0.72037965,0.02087709307275844,0.18899734914807348
30776,MUC3A,-2.311229,-0.104831204,0.020820204056438155,0.1885329266946386
30777,CPM,-2.312698,-0.9415412,0.02073925428001198,0.18785031930405482
30778,GK5,-2.3138638,-0.14771254,0.02067520147386266,0.18732043440604892
30779,CNOT9,-2.31631,-0.37600797,0.020541356032862498,0.186207778761091
30780,PLAAT3,-2.3170362,-1.2260722,0.02050176640531693,0.18589884399768697
30781,GRSF1,-2.31815,-0.34552112,0.020441171776091272,0.18544908193743467
30782,EDEM3,-2.3181636,-0.5708314,0.020440430164754265,0.18544908193743467
30783,VCPIP1,-2.3191357,-0.52502227,0.020387687720196373,0.185063380059033
30784,KLF6,-2.322196,-0.21489948,0.020222382949097506,0.18361227144847952
30785,TUT4,-2.3229222,-0.094974145,0.02018333019012824,0.1833070149703706
30786,FDXR,-2.3256252,-2.2550147,0.020038561119389453,0.18204120952294026
30787,SLC25A27,-2.3268728,-0.3149375,0.019972039680675336,0.1814857578308607
30788,MANBA,-2.3268783,-0.19775563,0.019971748982560322,0.1814857578308607
30789,HMGXB4,-2.327457,-0.3291161,0.019940955920044537,0.18134982553700882
30790,ASCC1,-2.3278966,-0.23084354,0.019917598319543314,0.18118624084696452
30791,TBC1D8B,-2.3280685,-0.7264999,0.019908464892591963,0.18115199716182656
30792,PLAG1,-2.3282106,-1.7116307,0.019900928945620112,0.18113227478425212
30793,GLRX3,-2.3282924,-0.24942733,0.01989658241680089,0.18113227478425212
30794,SGCD,-2.3284945,-0.5333019,0.019885864522303943,0.1810928661221417
30795,PEDS1,-2.329349,-0.72863114,0.019840586454143293,0.1807293161346638
30796,PSMD5,-2.331544,-0.5267841,0.0197246934539624,0.17972215963723776
30797,RNF185,-2.3318007,-0.5890889,0.019711182449334338,0.1796475677581147
30798,TAOK2,-2.3322837,-0.6264362,0.019685763450944818,0.1795062524422405
30799,KCTD5,-2.3356392,-0.9646814,0.019510054735727332,0.17805497613833923
30800,FAM81A,-2.3383749,-0.3169112,0.019367815350167555,0.17685252771709156
30801,ACOX1,-2.3410094,-0.5920973,0.019231685730975057,0.175704596957243
30802,IRF7,-2.341367,-1.7272118,0.01921327057705643,0.1755838974187118
30803,SMG7,-2.341629,-0.140226,0.019199785289855054,0.1755081971497452
30804,PICK1,-2.3444712,-1.5933436,0.01905408463080967,0.1742707550673674
30805,ATG16L1,-2.3452983,-0.3670922,0.019011858120164205,0.17393169549195778
30806,RPF2,-2.3456807,-0.41093352,0.01899237517327725,0.1738005799691821
30807,PTPN23,-2.3461883,-0.5182456,0.018966517692039993,0.173611043659639
30808,LNCPRESS2,-2.3472776,-1.4020494,0.018911153048241574,0.17315123577955785
30809,PLK2,-2.3488777,-0.43279976,0.018830096784464404,0.1725027058126063
30810,ZRANB1,-2.3489103,-0.3190752,0.018828440109072926,0.1725027058126063
30811,ENSG00000243349,-2.3507614,-1.088971,0.018735044788099797,0.17172518640328366
30812,ADAP1,-2.351321,-1.4972591,0.01870688569723307,0.1715136748436532
30813,NKIRAS1,-2.3516378,-0.39704722,0.018690968181373186,0.1714143154225418
30814,DYRK2,-2.353011,-0.39834177,0.018622083546475317,0.17082901002122816
30815,ADCY9,-2.3530955,-0.43683237,0.018617845447358318,0.17082901002122816
30816,NUDT2,-2.3538628,-0.7860974,0.018579467609050618,0.17053080444215665
30817,PIGU,-2.354275,-0.12581027,0.018558873249815776,0.1703881315506896
30818,MTMR3,-2.355509,-0.21281452,0.018497345901674886,0.1698969385084776
30819,AGAP14P,-2.3561425,-0.6905417,0.01846583487517501,0.16971867847681962
30820,ABCD4,-2.3568468,-0.73988336,0.018430847623013443,0.1694894518398674
30821,AKR1A1,-2.3574965,-0.36670998,0.018398624023117597,0.16923925151035651
30822,SIM2,-2.3590229,-0.48888212,0.018323133043787892,0.16859081235271434
30823,OTUD4,-2.3594759,-0.2830763,0.018300767608742555,0.16843095993425364
30824,YPEL2,-2.3599591,-0.49181557,0.018276946457642197,0.16825761895793934
30825,MANBAL,-2.360224,-0.5167449,0.018263903446666774,0.1681834340312601
30826,COL27A1,-2.3609283,-0.16730638,0.018229251382092495,0.1679101669756486
30827,PHF1,-2.361701,-1.4189364,0.01819130777318335,0.1676522054813456
30828,SH3TC1,-2.363208,-1.0944611,0.018117496578808897,0.1670175777510962
30829,ENSG00000251574,-2.3640244,-0.19169319,0.01807762512760489,0.16669556485525797
30830,STYXL2,-2.3649006,-1.6414177,0.018034905548284397,0.16634710584994958
30831,HLA-A,-2.36581,-0.10933906,0.017990682440735938,0.16598458450927825
